piece_id,descr
2662,Door Frame 2 x 8 x 12 with Hinges
gmracer6stk01,Sticker for Set GMRacer6
43892,Tail [Trunk]
375,Minifig Accessory Ice Axe
scl066,"Scala, Clothes Male Pants with Two Pockets"
87824,Hero Factory Mask (Thunder)
post009,Minifig - Postman
fab4f,Fabuland Figure Crow 3 with Aviator Helmet
3240ac01,Train Track 12V Slotted Straight Type 2 (Complete)
x1405,Scala Curtain Rod Curved shower
6272,Electric RC Race Buggy Battery/RC Receiver Unit with Auxiliary Output
32342c01,Electric Technic Capacitor with Clear Top
8650stk01,Sticker for Set 8650 - (52166/4254483)
3622pb003,Brick 1 x 3 with Cash Register Print
x198,Road Sign Clip-on 2 x 2 Round
59230,"Arm Mechanical, Straight [2 Clips at 90°]"
4177936,Spybotics CD-ROM
6636pb008,Tile 1 x 6 with Dashboard Gauges Print (Sticker) - Set 8466
29543,Soft Slope Brick 2 x 4 with Curved Top
x603cx1,Clikits Jelly String 22L
32571,Bionicle Mask Kaukau
45405,Roof Piece 16 x 4 x 5
paddle,Sports Promo Paddle from McDonald's Sports Sets
3152stk01,Sticker for Set 3152 - (22958/4141451)
453,Window 1 x 4 x 2 with Fixed Glass
6033stk01,Sticker for Set 6033 - (71638/4114222)
x244c01,Train Wheel Spoked with Beveled Hub
3596,"Flag on Flagpole, Straight"
3069bpx106,Tile 1 x 2 with Exo-code XF348UPZ Print
4619stk01,Sticker for Set 4619 - (43124/4171391)
x454,Roadsign Hanging Slanted
10039c01,Pullback Motor 8 x 4 x 2/3
57557,Bionicle Barraki Carapar Thigh & Shoulder Cover
u595p02c01,Figure Fabuland Monkey Head  2 with Neck
dcranec01,Duplo Crane 'Lofty' Complete Assembly
4866,Windscreen 3 x 4 x 1 1/3 with 6 Studs on Top
ftelm,"Plant, Tree Flat Elm painted with solid base"
161384,"Paper Space Horizon, Starfield, and Grid Pattern"
4066pb235,"Duplo, Brick 1 x 2 x 2 with Corn Label on Box Print"
